city,date,grass_pollen,temperature,humidity,wind_speed,precipitation
Berlin,2026-05-14,1.2541666666666667,10.191666666666666,73.66666666666667,9.637500000000001,4.7
Berlin,2026-05-15,2.1125000000000003,11.195833333333333,66.125,5.620833333333334,0.0
Berlin,2026-05-16,2.620833333333333,11.375,61.125,9.450000000000001,0.0
Berlin,2026-05-17,3.3833333333333333,13.1875,52.166666666666664,6.074999999999999,0.0
Berlin,2026-05-18,3.533333333333333,14.733333333333334,50.541666666666664,8.441666666666666,0.0
Berlin,2026-05-19,3.591666666666667,15.3375,57.666666666666664,6.966666666666666,0.0
Berlin,2026-05-20,2.6958333333333333,16.195833333333333,68.33333333333333,7.241666666666667,8.700000000000001
Hamburg,2026-05-14,1.8166666666666667,9.208333333333334,74.0,6.329166666666667,3.0999999999999996
Hamburg,2026-05-15,1.5916666666666666,9.475,69.66666666666667,9.304166666666667,1.1
Hamburg,2026-05-16,2.341666666666667,9.525,73.45833333333333,12.854166666666666,2.8
Hamburg,2026-05-17,4.129166666666666,11.645833333333334,64.83333333333333,8.066666666666666,0.2
Hamburg,2026-05-18,2.441666666666667,14.445833333333333,67.25,8.566666666666666,4.0
Hamburg,2026-05-19,3.7083333333333335,14.470833333333333,69.75,7.445833333333334,1.6
Hamburg,2026-05-20,0.6916666666666668,14.595833333333333,79.33333333333333,8.870833333333334,10.0
Munich,2026-05-14,4.1375,9.9625,62.75,11.916666666666666,0.5
Munich,2026-05-15,2.9,9.4,65.79166666666667,6.066666666666666,15.8
Munich,2026-05-16,4.1375,8.516666666666667,73.625,9.354166666666666,8.1
Munich,2026-05-17,6.3500000000000005,10.395833333333334,58.916666666666664,4.716666666666667,0.0
Munich,2026-05-18,6.425,11.591666666666667,62.333333333333336,6.504166666666666,1.8
Munich,2026-05-19,5.8625,13.258333333333333,65.375,6.116666666666667,5.4
Munich,2026-05-20,4.9375,14.424999999999999,68.75,8.795833333333333,7.800000000000001
Frankfurt,2026-05-14,3.7583333333333333,10.204166666666667,71.91666666666667,11.158333333333333,2.3
Frankfurt,2026-05-15,3.5666666666666664,10.254166666666666,71.08333333333333,3.716666666666667,3.2
Frankfurt,2026-05-16,4.379166666666666,10.533333333333333,61.5,5.3999999999999995,2.8
Frankfurt,2026-05-17,8.333333333333334,12.570833333333333,63.125,6.708333333333333,0.1
Frankfurt,2026-05-18,8.433333333333334,13.3125,66.58333333333333,5.6125,1.5
Frankfurt,2026-05-19,8.799999999999999,14.387500000000001,67.91666666666667,5.033333333333333,1.3
Frankfurt,2026-05-20,5.720833333333334,16.354166666666668,73.83333333333333,9.966666666666667,2.4000000000000004
Stuttgart,2026-05-14,1.7375,10.025,69.70833333333333,9.049999999999999,1.6
Stuttgart,2026-05-15,1.1291666666666667,9.354166666666666,71.54166666666667,5.420833333333333,1.3
Stuttgart,2026-05-16,3.7916666666666665,9.6625,64.70833333333333,5.904166666666666,0.6
Stuttgart,2026-05-17,6.545833333333333,12.266666666666666,57.333333333333336,4.754166666666666,0.1
Stuttgart,2026-05-18,4.9750000000000005,12.033333333333333,71.375,6.695833333333333,6.4
Stuttgart,2026-05-19,5.25,13.920833333333334,65.91666666666667,4.945833333333334,0.0
Stuttgart,2026-05-20,4.2250000000000005,15.924999999999999,70.25,7.533333333333334,5.4
Dresden,2026-05-14,1.7,12.1625,59.875,8.866666666666667,0.5
Dresden,2026-05-15,1.9833333333333334,11.441666666666668,67.375,5.120833333333334,2.8
Dresden,2026-05-16,2.6916666666666664,11.316666666666668,66.875,7.216666666666666,0.1
Dresden,2026-05-17,4.0375000000000005,12.129166666666668,58.583333333333336,3.85,0.0
Dresden,2026-05-18,5.670833333333333,14.329166666666667,57.375,3.3375000000000004,0.0
Dresden,2026-05-19,5.483333333333333,15.641666666666666,59.583333333333336,5.145833333333333,0.0
Dresden,2026-05-20,4.408333333333333,16.066666666666666,65.58333333333333,5.983333333333333,1.2
Düsseldorf,2026-05-14,0.9583333333333334,9.258333333333333,78.375,10.9625,4.1000000000000005
Düsseldorf,2026-05-15,2.6,10.025,67.125,8.920833333333333,0.5
Düsseldorf,2026-05-16,1.9083333333333332,11.058333333333332,61.083333333333336,7.895833333333333,0.0
Düsseldorf,2026-05-17,1.5166666666666666,12.166666666666666,73.625,10.029166666666667,12.0
Düsseldorf,2026-05-18,2.3208333333333333,13.112499999999999,75.95833333333333,6.4375,10.1
Düsseldorf,2026-05-19,3.2458333333333336,14.229166666666666,68.95833333333333,9.225,1.4
Düsseldorf,2026-05-20,2.4583333333333335,15.841666666666667,78.25,10.15,5.5
Erfurt,2026-05-14,1.2125000000000001,9.404166666666667,70.0,9.604166666666666,2.1
Erfurt,2026-05-15,1.6166666666666665,7.9125000000000005,77.58333333333333,4.116666666666666,1.4000000000000001
Erfurt,2026-05-16,2.0500000000000003,8.637500000000001,69.45833333333333,7.933333333333334,0.30000000000000004
Erfurt,2026-05-17,3.0625,11.670833333333334,54.958333333333336,6.145833333333333,0.0
Erfurt,2026-05-18,3.0124999999999997,13.020833333333334,61.916666666666664,5.366666666666667,0.1
Erfurt,2026-05-19,2.6625,13.354166666666666,68.29166666666667,4.5249999999999995,0.9
Erfurt,2026-05-20,2.704166666666667,15.241666666666667,74.41666666666667,8.066666666666666,6.8
Hanover,2026-05-14,0.4166666666666667,9.012500000000001,75.66666666666667,8.741666666666667,3.3000000000000003
Hanover,2026-05-15,3.420833333333333,9.637500000000001,68.83333333333333,6.7250000000000005,0.5
Hanover,2026-05-16,3.5416666666666665,9.945833333333333,65.04166666666667,10.475,0.5
Hanover,2026-05-17,6.054166666666667,12.220833333333333,59.041666666666664,7.875,0.0
Hanover,2026-05-18,5.066666666666666,13.954166666666666,67.0,7.9125000000000005,2.1
Hanover,2026-05-19,6.541666666666667,13.370833333333332,70.125,6.5125,0.2
Hanover,2026-05-20,1.9000000000000001,15.016666666666666,77.54166666666667,9.154166666666667,9.4
Magdeburg,2026-05-14,1.6041666666666667,9.958333333333334,73.54166666666667,8.612499999999999,4.0
Magdeburg,2026-05-15,2.5833333333333335,10.033333333333333,67.70833333333333,5.4375,0.4
Magdeburg,2026-05-16,3.533333333333333,10.245833333333334,64.29166666666667,9.183333333333334,0.5
Magdeburg,2026-05-17,5.045833333333333,11.6625,63.0,4.558333333333334,0.0
Magdeburg,2026-05-18,3.454166666666667,14.674999999999999,61.208333333333336,6.9750000000000005,0.7
Magdeburg,2026-05-19,3.5541666666666667,14.65,67.45833333333333,6.8125,0.39999999999999997
Magdeburg,2026-05-20,2.4458333333333333,15.950000000000001,74.0,8.729166666666666,2.6
Mainz,2026-05-14,4.545833333333333,9.9,73.75,8.654166666666667,4.0
Mainz,2026-05-15,4.125,10.2125,72.45833333333333,5.2,3.4
Mainz,2026-05-16,5.541666666666667,10.029166666666667,65.58333333333333,5.883333333333333,0.30000000000000004
Mainz,2026-05-17,10.3625,12.095833333333333,65.875,4.408333333333333,0.30000000000000004
Mainz,2026-05-18,10.195833333333333,12.875,72.70833333333333,4.3125,1.6
Mainz,2026-05-19,10.433333333333334,13.700000000000001,70.70833333333333,4.775,0.30000000000000004
Mainz,2026-05-20,7.941666666666666,15.941666666666668,75.29166666666667,7.5125,3.4
Rostock,2026-05-14,1.4541666666666666,9.195833333333333,78.20833333333333,8.5375,5.1
Rostock,2026-05-15,1.9416666666666667,10.054166666666667,70.66666666666667,7.104166666666667,0.1
Rostock,2026-05-16,2.095833333333333,9.483333333333333,74.33333333333333,12.870833333333332,2.9000000000000004
Rostock,2026-05-17,3.720833333333333,11.316666666666668,65.29166666666667,9.733333333333333,0.0
Rostock,2026-05-18,4.554166666666666,13.641666666666666,57.708333333333336,12.379166666666668,0.0
Rostock,2026-05-19,3.3166666666666664,13.020833333333334,68.16666666666667,8.041666666666666,0.0
Rostock,2026-05-20,0.85,14.233333333333334,80.5,9.737499999999999,12.1
